,reservoir,order,yearmonth,density_cells/ml,m_avg_deep_temp,m_avg_surf_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,temp_diff
231,CBR,Chroococcales,199208,59.82980313337458,21.580000000000002,24.2625,3.34,20.138709677419353,1.525806451612903,49273.90806451612,Ag,None,39.9485,-83.7459,2.6824999999999974
232,CBR,Chroococcales,199209,135.633680555556,20.272000000000002,20.85,4.64,18.15666666666667,1.5766666666666667,44736.488666666664,Ag,None,39.9485,-83.7459,0.5779999999999994
233,CBR,Chroococcales,199306,3592.3987500000003,18.5,22.5375,3.3549999999999995,20.823333333333334,3.55,53858.12966666666,Ag,None,39.9485,-83.7459,4.037500000000001
234,CBR,Chroococcales,199307,1195.3075,23.825,26.375,1.9100000000000001,24.212903225806453,2.674193548387097,52825.63354838709,Ag,None,39.9485,-83.7459,2.5500000000000007
235,CBR,Chroococcales,199308,4167.7,22.78,25.5125,1.355,24.05806451612903,1.5548387096774194,49308.00451612904,Ag,None,39.9485,-83.7459,2.732499999999998
236,CBR,Chroococcales,199507,13.871473354,20.266666666666666,25.3,4.426666666666667,23.506451612903227,2.035483870967742,52865.12774193548,Ag,None,39.9485,-83.7459,5.033333333333335
237,CBR,Chroococcales,199508,10.514851485,22.736,27.51,4.5680000000000005,24.664516129032258,5.593548387096774,49372.60258064516,Ag,None,39.9485,-83.7459,4.774000000000001
238,CBR,Chroococcales,199509,25.528089888,22.38888888888889,24.175,6.188888888888888,17.636666666666667,0.9433333333333334,44850.15933333334,Ag,None,39.9485,-83.7459,1.7861111111111114
239,CBR,Chroococcales,199806,21.2740384615385,20.824,22.880000000000003,2.948,21.006666666666668,5.763333333333334,53852.424666666666,Ag,None,39.9485,-83.7459,2.056000000000001
240,CBR,Chroococcales,199807,229.7596153846155,24.189473684210526,25.825,0.994736842105263,22.729032258064517,1.8129032258064517,52842.46580645161,Ag,None,39.9485,-83.7459,1.6355263157894733
241,CBR,Chroococcales,199809,18.4119278779473,23.045833333333334,23.55,3.6750000000000003,21.613333333333333,0.5466666666666666,44806.75266666667,Ag,None,39.9485,-83.7459,0.5041666666666664
242,CBR,Chroococcales,200006,59.898,21.21,23.39,2.755,21.21333333333333,2.8866666666666663,53863.098333333335,Ag,None,39.9485,-83.7459,2.1799999999999997
243,CBR,Chroococcales,200007,86.231,23.662499999999998,24.683333333333334,2.1958333333333333,21.403225806451612,4.425806451612904,52801.11806451613,Ag,None,39.9485,-83.7459,1.0208333333333357
244,CBR,Chroococcales,200106,1.355,17.504761904761903,23.2125,3.2047619047619045,20.35,2.7,53858.587999999996,Ag,None,39.9485,-83.7459,5.707738095238096
245,CBR,Chroococcales,200107,77.4054,23.004166666666666,25.619999999999997,3.3874999999999997,22.403225806451612,3.4451612903225803,52820.57967741935,Ag,None,39.9485,-83.7459,2.615833333333331
246,CBR,Chroococcales,200108,16.838,24.773684210526316,26.175,1.4421052631578946,22.86774193548387,2.3096774193548386,49300.01612903226,Ag,None,39.9485,-83.7459,1.401315789473685
247,CBR,Chroococcales,200206,3.636,20.150000000000002,23.9,4.120833333333333,22.15,3.1333333333333333,53854.127,Ag,None,39.9485,-83.7459,3.7499999999999964
248,CBR,Chroococcales,200406,206.22687127675,21.9875,22.82,3.109166666666667,20.41,2.3266666666666667,53864.87566666667,Ag,None,39.9485,-83.7459,0.8324999999999996
249,CBR,Chroococcales,200407,511.33109079499997,23.900000000000002,24.8625,4.1078947368421055,21.96451612903226,3.829032258064516,52799.47806451613,Ag,None,39.9485,-83.7459,0.9624999999999986
250,CBR,Chroococcales,200408,794.2062937063333,22.712,23.56,3.418,20.596774193548388,2.061290322580645,49262.29612903226,Ag,None,39.9485,-83.7459,0.847999999999999
251,CBR,Chroococcales,200409,182.7558324382,18.625,22.3125,6.471666666666667,19.136666666666667,1.8033333333333335,44721.609333333334,Ag,None,39.9485,-83.7459,3.6875
252,CBR,Chroococcales,200508,896.0,23.763157894736842,25.537499999999998,1.2984210526315791,24.248387096774195,4.551612903225807,49296.05064516129,Ag,None,39.9485,-83.7459,1.7743421052631554
253,CBR,Chroococcales,200606,656.71125,18.258333333333333,23.330000000000002,0.8191666666666667,19.94,3.6166666666666667,53855.53433333334,Ag,None,39.9485,-83.7459,5.071666666666669
254,CBR,Chroococcales,200607,521.102,22.650000000000002,26.46666666666667,0.10071428571428571,23.874193548387098,2.8451612903225807,52839.080322580645,Ag,None,39.9485,-83.7459,3.8166666666666664
255,CBR,Chroococcales,200707,145.369411764706,22.88235294117647,25.433333333333334,2.334705882352941,22.138709677419353,1.8225806451612903,52858.21,Ag,None,39.9485,-83.7459,2.5509803921568626
