,reservoir,yearmonth,m_avg_surf_temp,m_avg_deep_temp,m_avg_dissolved_oxygen,density_cells/ml,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,alg_bloom
606,NRR,201706,25.7,18.053333333333335,1.3876666666666668,0.0,23.233333333333334,3.3266666666666667,52874.799333333336,Ag,Weak,37.2792,-86.2469,no bloom
607,NRR,201707,29.275,21.326666666666664,0.8633333333333333,0.0,26.206451612903226,2.9000000000000004,51931.7964516129,Ag,Weak,37.2792,-86.2469,no bloom
608,NRR,201708,27.68166666666667,22.13048780487805,0.44390243902439025,125394.87224519759,24.0,3.870967741935484,48746.53258064516,Ag,Weak,37.2792,-86.2469,bloom
609,NRR,201709,24.825,21.625806451612902,0.9183870967741935,0.0,20.663333333333334,5.576666666666667,44631.94933333333,Ag,Weak,37.2792,-86.2469,no bloom
610,NRR,201710,22.7,20.663333333333334,1.2590000000000001,0.0,15.961290322580645,3.8870967741935485,40350.52580645162,Ag,Weak,37.2792,-86.2469,no bloom
611,NRR,201805,22.233333333333334,13.277777777777779,6.458666666666667,0.0,22.40967741935484,4.180645161290323,51059.94903225806,Ag,Weak,37.2792,-86.2469,no bloom
612,NRR,201806,27.924999999999997,18.19333333333333,2.947666666666666,0.0,25.096666666666668,5.543333333333334,52871.522666666664,Ag,Weak,37.2792,-86.2469,no bloom
613,NRR,201807,29.35,22.063333333333333,0.5666666666666667,0.0,25.919354838709676,4.17741935483871,51950.24451612904,Ag,Weak,37.2792,-86.2469,no bloom
614,NRR,201808,28.656666666666666,22.099545454545453,0.48045454545454547,59821.09024160767,24.96451612903226,3.0580645161290323,48775.896451612905,Ag,Weak,37.2792,-86.2469,bloom
615,NRR,201809,28.25,22.513333333333332,0.66,0.0,23.166666666666668,5.156666666666666,44667.23233333333,Ag,Weak,37.2792,-86.2469,no bloom
616,NRR,201810,21.55,20.945454545454545,2.8786363636363634,0.0,15.51290322580645,3.454838709677419,40383.24193548387,Ag,Weak,37.2792,-86.2469,no bloom
617,WFR,198905,16.61,13.842857142857143,1.7813953488372092,0.0,15.245161290322581,4.029032258064516,51633.85161290322,Urban,None,39.2607,-84.4975,no bloom
618,WFR,198906,23.775,18.45,1.7813953488372092,0.0,21.633333333333333,5.776666666666667,53592.03466666667,Urban,None,39.2607,-84.4975,no bloom
619,WFR,198907,26.5125,21.275,1.7813953488372092,0.0,24.106451612903225,2.57741935483871,52590.95709677419,Urban,None,39.2607,-84.4975,no bloom
620,WFR,198908,25.44,23.0,1.7813953488372092,0.0,23.148387096774194,2.003225806451613,49168.26935483871,Urban,None,39.2607,-84.4975,no bloom
621,WFR,198909,21.375,20.25,1.7813953488372092,0.0,19.326666666666664,1.91,44746.41733333333,Urban,None,39.2607,-84.4975,no bloom
622,WFR,198910,14.025,13.175,1.7813953488372092,0.0,13.27741935483871,2.109677419354839,40148.5,Urban,None,39.2607,-84.4975,no bloom
623,WFR,199005,18.5,11.9,1.7813953488372092,0.0,15.754838709677419,5.696774193548387,51609.76225806451,Urban,None,39.2607,-84.4975,no bloom
624,WFR,199006,23.7375,19.223809523809525,1.7813953488372092,0.0,21.746666666666666,3.856666666666667,53586.66366666667,Urban,None,39.2607,-84.4975,no bloom
625,WFR,199007,26.1125,19.223809523809525,1.7813953488372092,0.0,23.338709677419356,4.125806451612903,52609.47838709677,Urban,None,39.2607,-84.4975,no bloom
626,WFR,199008,25.675,19.223809523809525,1.7813953488372092,0.0,23.019354838709678,1.474193548387097,49199.34064516129,Urban,None,39.2607,-84.4975,no bloom
627,WFR,199009,22.225,19.223809523809525,1.7813953488372092,0.0,20.083333333333332,2.966666666666667,44782.686,Urban,None,39.2607,-84.4975,no bloom
628,WFR,199010,16.009999999999998,19.223809523809525,1.7813953488372092,0.0,13.425806451612903,3.167741935483871,40182.69935483871,Urban,None,39.2607,-84.4975,no bloom
629,WFR,199105,20.233333333333334,19.223809523809525,1.7813953488372092,0.0,21.083870967741937,2.2774193548387096,51583.35870967742,Urban,None,39.2607,-84.4975,no bloom
630,WFR,199106,25.599999999999998,19.223809523809525,1.7813953488372092,0.0,24.39,0.8933333333333333,53581.670333333335,Urban,None,39.2607,-84.4975,no bloom
631,WFR,199107,26.98,19.223809523809525,1.7813953488372092,0.0,25.948387096774194,1.1774193548387097,52629.28451612903,Urban,None,39.2607,-84.4975,no bloom
632,WFR,199108,24.8875,19.223809523809525,1.7813953488372092,0.0,24.01290322580645,2.735483870967742,49230.308387096775,Urban,None,39.2607,-84.4975,no bloom
633,WFR,199109,23.9,19.223809523809525,1.7813953488372092,0.0,20.040000000000003,2.0366666666666666,44821.05066666667,Urban,None,39.2607,-84.4975,no bloom
634,WFR,199110,15.219999999999999,19.223809523809525,1.7813953488372092,0.0,14.432258064516128,1.7580645161290323,40216.92322580645,Urban,None,39.2607,-84.4975,no bloom
635,WFR,199205,19.133333333333333,13.9,1.7813953488372092,0.0,15.864516129032259,3.167741935483871,51660.88516129032,Urban,None,39.2607,-84.4975,no bloom
636,WFR,199206,18.1,11.55,1.7813953488372092,267.5372857928639,19.983333333333334,2.3333333333333335,53595.460666666666,Urban,None,39.2607,-84.4975,bloom
637,WFR,199207,25.669999999999998,21.740000000000002,1.7813953488372092,0.0,23.516129032258064,4.390322580645161,52569.29483870968,Urban,None,39.2607,-84.4975,no bloom
638,WFR,199208,24.85,21.8,1.7813953488372092,0.0,21.23548387096774,2.2774193548387096,49129.378387096775,Urban,None,39.2607,-84.4975,no bloom
639,WFR,199209,22.833333333333332,20.233333333333334,1.7813953488372092,0.0,18.990000000000002,2.57,44706.099,Urban,None,39.2607,-84.4975,no bloom
640,WFR,199210,15.45,15.8,1.7813953488372092,0.0,12.251612903225807,1.0870967741935484,40107.20935483871,Urban,None,39.2607,-84.4975,no bloom
641,WFR,199305,20.1125,15.425,1.7813953488372092,0.0,17.36774193548387,2.838709677419355,51636.39806451613,Urban,None,39.2607,-84.4975,no bloom
642,WFR,199306,23.7875,18.325000000000003,1.7813953488372092,0.0,21.69,3.996666666666667,53590.62066666667,Urban,None,39.2607,-84.4975,no bloom
643,WFR,199307,28.45,20.866666666666664,1.7813953488372092,3498.585416666667,25.42258064516129,2.703225806451613,52586.83,Urban,None,39.2607,-84.4975,bloom
644,WFR,199308,25.925,24.5,1.7813953488372092,0.0,24.45483870967742,2.7580645161290325,49162.59612903226,Urban,None,39.2607,-84.4975,no bloom
645,WFR,199309,20.075000000000003,19.35,1.7813953488372092,0.0,18.503333333333334,4.053333333333333,44741.02966666667,Urban,None,39.2607,-84.4975,no bloom
646,WFR,199310,14.45,14.6,1.7813953488372092,0.0,12.161290322580646,2.496774193548387,40143.620322580646,Urban,None,39.2607,-84.4975,no bloom
647,WFR,199405,14.625,19.223809523809525,1.7813953488372092,0.0,15.551612903225807,1.7967741935483872,51611.605161290325,Urban,None,39.2607,-84.4975,no bloom
648,WFR,199406,25.020000000000003,20.85,1.7813953488372092,0.0,23.96333333333333,1.8833333333333333,53585.10433333334,Urban,None,39.2607,-84.4975,no bloom
649,WFR,199407,26.46666666666667,21.400000000000002,1.7813953488372092,0.0,24.4741935483871,2.7096774193548385,52605.997741935484,Urban,None,39.2607,-84.4975,no bloom
650,WFR,199408,23.933333333333334,22.766666666666666,1.7813953488372092,0.0,22.861290322580647,3.116129032258064,49194.37419354839,Urban,None,39.2607,-84.4975,no bloom
651,WFR,199409,20.7,20.200000000000003,1.7813953488372092,0.0,19.17,1.3633333333333333,44778.72,Urban,None,39.2607,-84.4975,no bloom
652,WFR,199505,17.625,15.95,1.7813953488372092,0.0,16.896774193548385,4.922580645161291,51585.549032258066,Urban,None,39.2607,-84.4975,no bloom
653,WFR,199506,25.566666666666666,19.2,1.7813953488372092,0.0,22.17,5.283333333333333,53580.524,Urban,None,39.2607,-84.4975,no bloom
654,WFR,199507,25.966666666666665,21.633333333333336,1.7813953488372092,0.0,24.62258064516129,2.4935483870967743,52625.23903225806,Urban,None,39.2607,-84.4975,no bloom
655,WFR,199508,27.57,24.28,1.7813953488372092,1079.196959682625,25.741935483870968,6.329032258064516,49225.52774193548,Urban,None,39.2607,-84.4975,bloom
656,WFR,199509,23.03333333333333,22.3,1.7813953488372092,0.0,18.953333333333333,1.0,44816.95366666666,Urban,None,39.2607,-84.4975,no bloom
657,WFR,199707,26.0,20.0,1.7813953488372092,0.0,24.141935483870967,1.2129032258064516,52583.597096774196,Urban,None,39.2607,-84.4975,no bloom
658,WFR,199708,24.6375,21.75,1.7813953488372092,0.0,22.009677419354837,3.6161290322580646,49158.9935483871,Urban,None,39.2607,-84.4975,no bloom
659,WFR,199709,22.35,21.575,1.7813953488372092,0.0,19.040000000000003,1.4133333333333333,44737.217,Urban,None,39.2607,-84.4975,no bloom
660,WFR,199710,18.65,18.6,1.7813953488372092,0.0,13.44516129032258,1.5032258064516129,40141.12903225807,Urban,None,39.2607,-84.4975,no bloom
661,WFR,199805,24.549999999999997,15.1,1.7813953488372092,0.0,19.461290322580645,3.454838709677419,51614.53,Urban,None,39.2607,-84.4975,no bloom
662,WFR,199806,22.55,18.1,1.7813953488372092,0.0,21.94,5.510000000000001,53585.07466666667,Urban,None,39.2607,-84.4975,no bloom
663,WFR,199807,24.9,19.223809523809525,1.7813953488372092,653.740802797407,23.80322580645161,1.7903225806451613,52603.2,Urban,None,39.2607,-84.4975,bloom
664,WFR,199808,26.625,23.8,1.7813953488372092,259.5570388349516,24.467741935483872,0.7548387096774193,49189.9135483871,Urban,None,39.2607,-84.4975,bloom
665,WFR,199809,25.075,22.15,1.7813953488372092,0.0,22.759999999999998,0.5166666666666667,44774.621666666666,Urban,None,39.2607,-84.4975,no bloom
666,WFR,199810,16.8,16.65,1.7813953488372092,0.0,14.170967741935485,2.135483870967742,40175.03967741936,Urban,None,39.2607,-84.4975,no bloom
